poemId,topics,topicWords
2553,"3,2","""蘇臺""，""人, 同心, 夢, 扁舟, 海, 湖, 秋, 箋, 舊"""
2554,"1,0,2,4","""三徑""，""懷舊, 白衣, 臨風""，""夢, 愁, 秋, 籬, 雪""，""霜色"""
2555,"3,2,1","""想見, 白描, 絕調""，""天, 愁, 簾, 西子""，""傳神, 瑤華, 秋風"""
2556,"2,1,5","""作客, 戰, 獨, 西風""，""家, 木葉, 涕淚, 空山, 蕪城""，""辛苦, 鄉關路"""
2557,"5,2,0","""山窗, 雲峰""，""寂寂, 湖, 陰""，""春寒, 落梅風"""
2558,"2,1,4,3,0","""山, 樹, 雨, 魂""，""刼後, 宮, 帆, 腸斷, 難""，""橫塘, 海門, 連江""，""吳苑""，""風濤"""
2559,"5,4,2,3,1","""故山, 津門, 綠波""，""春水""，""夢, 愁, 柳色, 梅花, 猿, 船, 雨, 鶴""，""學士""，""宦, 驛路"""
2560,"2,0,1,4","""君, 夢, 思, 愁, 扁舟, 揮毫, 新, 東西, 柳色, 歸, 水, 江南, 秋, 花, 雲, 顏色""，""沙頭, 琴""，""人生, 微波, 詞, 雙鯉, 鴻""，""木棉, 玉田, 聚散, 雁"""
2561,"4,2,1,0,5,3","""吳儂""，""急, 情, 戀, 春光, 柔, 水, 湖, 石, 粼粼, 船, 花, 苔, 苦""，""千里, 失明, 春波, 此時, 燒, 舌, 魚""，""滋味""，""長生""，""不盈"""
2562,"3,4,2","""玉臺""，""胥江""，""春風, 燕子, 簾, 船, 雨"""
2563,"2,3","""夕陽, 晴, 水, 舊""，""村舍"""
2564,"3,4,2,1","""客船, 江上""，""年時""，""冷, 山""，""夜半, 寒"""
2565,"2,5","""珠, 階, 雨""，""彷彿, 淺水"""
2566,"1,4","""夜""，""桐花, 蒼苔, 鴉頭"""
2567,"2,1,0,5","""春, 東西, 水, 迢迢, 香""，""冰""，""梅""，""雪海"""
2568,"1,2","""山桃, 詞, 魚""，""春, 湖, 蠶"""
2569,"2,3,0,5","""人, 塘, 曲折, 水, 流水, 船, 香""，""楊枝""，""西施""，""脂粉"""
2570,"2,4","""塘, 年年, 新, 春""，""題詩"""
2571,"4,1,2","""陰濃""，""百花, 綠苔""，""海上, 風"""
2572,"2,1,5","""光, 山, 湖, 翠, 舊, 苔, 雨, 雲, 風""，""夜""，""宣和"""
2573,"2,1,5","""唱, 春, 柳, 簾""，""日暮, 詞""，""短簿祠"""
2574,"5,2,1","""黃梅""，""新, 歌聲, 水, 藕花""，""蓬"""
2575,2,"""宵, 火, 翠, 蠶, 陰, 雨"""
2576,"2,1","""春, 柳, 湖, 花, 雨""，""鮮"""
2577,"3,0,4,2,1","""山頭, 湖畔""，""雲氣""，""山下""，""學, 春山, 雨""，""生"""
2578,"2,0,1","""五月, 山, 春, 水, 江南, 畫, 雲""，""萋萋""，""冬, 寒"""
2579,"2,0,4","""深宵, 笑, 苔, 風雨""，""紙窗, 羣芳, 陰暗""，""園中, 鳳尾蕉"""
2580,"4,1,2","""絕頂""，""平蕪, 畫圖""，""明月"""
2581,"2,4,5","""愛""，""洞庭""，""落後"""
2582,"2,1,3","""南北, 東西, 浪, 船""，""鱗""，""官"""
2583,"0,1,2,5","""沙頭, 蓮""，""家""，""曲, 柔, 湖, 秋""，""風力"""
2584,"3,2","""官, 峰頂, 移家, 頭銜""，""樹"""
2585,"2,3","""山, 影, 朵朵, 芙蓉, 雲""，""天光"""
2586,"3,2","""縹緲, 遺宅, 題品""，""水, 竹"""
2587,"2,1,3,5","""船, 雨, 風""，""來往, 帆""，""四面""，""馮夷宮"""
2588,"4,2,3","""山泉, 東籬""，""新, 船, 雪, 香""，""燕尾, 遊人"""
2589,"2,3,1,0,4","""山, 松, 雪, 雲""，""上方""，""魚""，""下方""，""天衣"""
2590,"2,0,3,1,4","""光, 湖, 險""，""沙棠, 波浪, 湖心, 葉葉, 金管""，""風帆""，""渺茫""，""玉簫"""
2591,"2,0,1","""人, 女, 湖, 翠""，""墓, 春遊, 氤氳""，""寂寞"""
2592,"5,2","""水禽, 白蓮, 香水""，""天邊, 歌聲, 眉"""
2593,"2,1","""夏, 宵, 愁, 秋, 風雨""，""宮, 梧桐, 蕭瑟"""
2594,"2,0,1","""剩, 苔""，""淩寒""，""風霜"""
2595,"0,2,1","""石泉, 雨後""，""畫, 秋""，""林"""
2596,"1,0","""生, 賦詩, 高下""，""比似"""
2597,"3,0,2,1,5,4","""楓林, 樂府""，""嫣然""，""人, 冷, 夕陽, 夢, 影, 愁, 新, 春, 水, 海棠, 淚, 畫, 秋, 詩情, 長亭, 階, 雨, 風味, 魂""，""客, 寒, 恐, 驛路""，""付與, 吳江""，""殘山"""
2598,"2,1,0,3","""光, 夕陽, 愁, 歸, 江南, 畫, 籬, 西風, 詩, 陰, 雨, 飄零""，""夜, 天涯, 客, 感, 書, 林, 此時, 菊, 蕭蕭""，""剩有, 柴扉, 秋意""，""昏鴉"""
2599,"2,5,0,3,1","""夜月, 孤燈, 嶙峋, 影, 思, 愁, 水, 淚, 石, 翠, 舊, 苔, 蕭疎, 詩, 閨, 雨, 風, 魂""，""吳江""，""朦朧, 秋意, 雲煙""，""彈琴, 篋笥""，""妃"""
2600,"1,2,3,4","""冰, 夜, 妃, 洛浦, 生, 空山""，""人, 夢, 天, 寂寂, 影, 思, 春, 東風, 梨花, 水, 笑, 籬, 翠, 苦, 詩情, 雪, 魂, 鶴""，""小紅""，""曉霜"""
2601,"2,1,4,5,0","""人間, 冷, 夢, 帳, 廣寒, 愁, 戀, 春, 簾, 花, 雪, 香, 魂""，""冰壺, 宮闕, 寒, 幽寂, 燈影, 生, 素娥""，""山色, 曉霜, 罡風, 領袖""，""瑤京, 縷縷""，""合伴"""
2602,"3,1,2,4","""兒女, 雨聲, 點滴""，""不堪, 別離, 荷葉, 蕭瑟""，""和, 愁, 歧, 淚, 竹, 細細, 雲, 風, 黃昏""，""雁"""
2603,"2,1,5,0","""冷, 剩, 和, 天, 影, 愁, 海, 獨, 玉, 竹, 花, 蟲, 西風, 詩, 階, 魂""，""寒, 岑寂, 暮雲, 梧桐, 生""，""蟾蜍, 露珠""，""瀟湘"""
2604,"2,1,3,4,0","""五更, 冷, 剩, 和, 塘, 年年, 庭院, 影, 思, 柳, 歸, 獨, 秋, 西風, 陰, 風""，""哀, 宮, 恐, 林, 漢苑, 身世, 音""，""廻腸, 淒迷""，""殘照""，""餘音"""
2605,"2,1","""人, 仙, 夢, 愁, 掩映, 煙雨, 船, 蘭, 雲""，""寒, 詞"""
2606,"2,1","""人, 天, 泣, 珠""，""夜, 寒, 湘娥, 纍纍, 血淚"""
2607,"1,2,0","""冬, 前身, 空山""，""佳人, 和, 春, 雪, 韶華, 風味, 香""，""梅, 淸芬, 紅妝"""
2608,"2,1,3,5","""仙, 天, 消息, 黃昏""，""九月, 垂淚, 恐, 故園, 書, 殘年""，""淸興, 無味""，""揚州"""
2609,"1,2,5,0","""冰, 夜, 妝, 寒, 斷續, 春色""，""人, 低頭, 冷, 剩, 和, 玉顏, 笑, 笛, 籬, 臙脂, 舊, 苔, 雨, 魂, 鶴""，""相識""，""朝日, 朦朧, 砂"""
2610,"2,1,5,3","""冷, 塵, 夢, 影, 心, 明月, 春, 東風, 江南, 玉, 畫, 眉, 苔, 雪, 鳳""，""冰壺, 寒, 暗香, 書, 江, 翠竹, 舊時""，""揚州""，""西湖"""
2611,"0,2,1,3","""闌幹, 飛花""，""夢, 幽怨, 心, 恨, 愁, 春, 春光, 曲, 消息, 湘簾, 舊, 鸞""，""去年, 天涯, 宮, 瑤琴, 難""，""廻腸, 更換"""
2612,"0,2,1","""氤氳""，""夢, 簾, 風, 鶴""，""無力, 爐, 蟹"""
2613,"5,2,1,4","""淩亂, 瀟瀟, 綠天""，""人, 夢, 庭院, 愁, 秋, 船, 陰, 風雨""，""夜, 隔窗""，""新詞, 江邊"""
2614,"1,3,2,0","""夜, 客, 寒, 新月""，""梧桐樹""，""和, 思, 秋, 金, 風, 鳳""，""闌幹"""
2615,"4,2,1,5,3","""松花, 空際, 謖謖""，""人, 山, 石, 陰""，""瑤琴, 相對, 音""，""彷彿""，""棋枰"""
2616,"2,1,4,0","""人, 和, 塘, 思, 樹, 歸, 玉, 秋, 花, 西風, 雪, 風""，""小別, 而今, 風韻, 鮮, 鱗""，""江邊""，""滋味"""
2617,"2,1,4,3,5","""人, 冷, 夢, 宵, 思, 曲, 柳, 樹, 水, 海, 湖, 絃, 船, 詩, 雨, 雲""，""冰, 夜, 寂寞, 寒, 山川, 悵望, 林, 湘娥, 難, 鴉""，""寒潮, 春意, 雁""，""江梅""，""行路"""
2618,"0,2,1","""芬菲""，""人, 夜月, 情, 景物, 杜宇, 東風, 流鶯, 無意, 花, 芳草, 閨, 香""，""天涯, 妝, 惆悵, 感, 春陰, 陌上, 馬"""
2619,"2,4","""姊妹, 山, 花, 茫茫, 雲, 頃刻""，""愁緒, 飛鳥"""
2620,"2,1,4","""天, 梅花, 西風""，""寒月, 感, 蕭瑟, 銷魂""，""噩夢, 窗紗"""
2621,"0,5,2,4,1","""洛陽, 素質""，""魏紫""，""人, 學, 富貴, 畫, 繁華, 胭脂""，""寒香, 熱鬧""，""妝, 雪霜"""
2622,"0,2,3,1","""去歲, 壽筵, 無緣, 長逝, 黯黯""，""天, 泉, 淚, 童, 陰, 高堂""，""萱幃, 落絮""，""傷心, 回首, 往事, 恐, 生, 難"""
2623,"2,0,3,5,1","""仙, 佛, 君, 塵, 夢, 愛, 梅花, 樹, 玉, 秋, 翠, 雪, 魂""，""白衣, 自在, 誦經""，""本源""，""下拜, 仙鶴, 寒夜, 聰明""，""憔悴, 當年"""
2624,"2,1,0","""人, 戀, 樹, 秋, 雲""，""家, 空山, 蓬""，""自在"""
2625,"0,1,2,5","""去歲""，""生平, 而今, 難, 鸚鵡""，""人, 籬, 詩""，""當初, 聰明"""
2626,"5,2,1,3","""此日, 無期""，""夢, 愁, 珠""，""來去""，""萬般"""
2627,"2,0,5","""惜, 歸, 雪, 風""，""遊宦""，""故山"""
2628,"1,0,2","""爆竹, 難""，""春雷, 膏肓""，""從此"""
2629,"1,3,2","""哀, 哭, 妹, 明珠, 歸來""，""淚眼""，""心, 聲聲"""
2630,"1,2,0","""斜陽, 昨日, 牀頭, 難""，""今日, 新, 泣, 魂""，""墓, 斷腸"""
2631,"2,0,5","""夢, 情, 黃昏""，""幽魂, 恍惚""，""懷中"""
2632,"2,0,5,1","""愛, 泉, 淚, 玉, 珠""，""尋思, 襁褓""，""觸目""，""淒然"""
2633,"3,2,1,0","""歲月, 電影""，""人, 夢, 情, 花, 風雨, 鶯""，""半生, 吾, 太和, 家, 江河, 池塘, 萍""，""棠棣"""
2634,"1,0,2,4","""干戈, 生, 祥, 辜負, 鳥""，""問訊, 擾攘, 花意""，""兩地, 雲""，""戎馬"""
2635,"2,4,1","""光, 天空, 新秋, 雨, 雲""，""畫樓""，""桐葉"""
2636,"2,4","""夕陽, 天, 山, 思, 悄然, 畫, 翠, 金, 闌干, 風, 裏""，""水色"""
2637,"1,3,0,2","""朝朝""，""西河, 鱸魚""，""今歲, 太平""，""唱"""
2638,"2,1,0","""君, 宵, 恨, 挑燈, 景物, 水, 浪, 畫, 眼前, 頃刻, 風, 魂""，""天涯, 馬, 驛路""，""板橋"""
2639,"2,0,1","""帳, 恨, 愁, 春, 美人, 花, 芳塵, 雲, 香, 魂""，""楚宫""，""前因, 夜, 從來, 生, 盈盈, 血淚"""
2640,"2,3,1","""人, 夢, 婦, 思, 情, 愁, 樹, 歸, 閨, 風, 鶴, 裏""，""不獨, 雨聲""，""家, 銷魂"""
2641,"2,1,3,4","""人, 獨""，""一生, 侏儒, 惟有, 萬物, 難""，""傀儡""，""無愧"""
2642,"3,1,5,4,0,2","""宰相""，""將軍""，""世界""，""貧賤""，""俯仰""，""人"""
2643,"2,1,0,3,5","""君, 恨, 新, 江頭, 無限, 琵琶, 秋, 飄零""，""三更, 傷心, 夜, 寒, 知己, 馬""，""琴, 紅粉""，""不獨, 舊情""，""古來"""
2644,"2,5,1","""情, 故鄉, 曲, 浪, 琴書, 芙蓉, 遠行, 驪歌""，""遠征""，""收拾, 知己, 龍門"""
2645,"2,1,3","""不忍, 人, 夢, 情, 旌, 春風, 歧, 淚, 頃刻, 魂""，""天涯, 履, 形影""，""送行, 都城"""
2646,"2,0,1,5,4","""仙, 四壁, 塵, 影, 消受, 琴書, 畫, 竹, 舊, 鳥語""，""可人, 因緣, 瀟湘""，""新詩""，""世界""，""解脫, 鐘聲"""
2647,"5,2,0,1,4","""但願, 娣, 甲子, 華燭""，""光, 和, 心, 愛, 花, 詩篇, 香""，""壽筵""，""多情, 桐葉""，""好學"""
2648,"2,1,3,5","""天, 姊妹, 悲, 歧, 花, 風, 風雨""，""傷心, 生""，""移家""，""隔世"""
2649,"1,2,0","""血痕, 音""，""夢, 山, 魂""，""不復"""
2650,"5,3,2,4,0,1","""桑梓""，""今春, 歸舟""，""姊妹, 故鄉, 茫茫""，""弟兄""，""聚首""，""誰知"""
2651,"0,4,2,1","""回憶, 迴腸""，""雁""，""新, 無言, 舊, 花""，""回首, 妝, 而今"""
2652,"2,5,1,4","""人, 塵, 夢, 天, 姊妹, 情, 淚, 珠, 鸞鏡""，""心酸""，""妝, 宦, 寒, 書, 生, 難, 鳳城""，""雁"""
2653,"0,1,2,4","""虛心""，""姊, 書, 枕邊, 欷歔, 詞""，""思, 母, 淚, 相逢, 香""，""睽違, 膝下"""
2654,"0,2,3,1,5","""投筆, 早年, 肝膽""，""人, 天, 眉""，""戰士, 本源""，""平原, 難""，""不愧, 孤軍, 恩"""
2655,"4,0,2","""下風, 德, 掃蕩, 胸中, 虛名""，""化工""，""人, 愧, 素心"""
2656,"2,1,5,3","""佛, 扇, 流水, 美人""，""空山, 自古""，""傳誦, 素有, 長生""，""芳名"""
2657,"2,3,1","""人事, 宵, 心, 新, 明日, 柳, 金, 雪, 風, 龍""，""守歲, 春天""，""爐"""
2658,"5,4,1,2","""伯仲, 努力, 桑梓""，""前程, 德, 綵衣, 膝下, 自愛, 雁""，""履""，""春暉, 歸"""
2659,"0,2,1,4","""聚首""，""光, 分離, 南浦, 四壁, 夢, 天, 愁, 新, 春, 畫堂, 草色, 風雨""，""三秋, 客, 難""，""滿天"""
2660,"2,3,1,5","""人, 夕陽, 心, 思, 愁, 春, 東風, 流水, 簾, 落花""，""冷節, 山頭""，""天涯, 客, 家, 感, 杜鵑聲, 松柏, 舟""，""佳景"""
2661,"2,1,0,3","""仙, 夕陽, 夢, 富貴, 惜, 春, 春光, 消息, 珍重, 細雨, 絮, 繁華, 落花, 風""，""難""，""去路, 喚醒, 東皇""，""行裝"""
2662,"1,0,2,3","""人生, 光陰, 造化, 金粉, 難, 音""，""可憐蟲, 塵世""，""夕陽, 女, 曲, 苦, 茫茫, 靈""，""小兒, 過客"""
2663,"2,0,1,5,4","""古人, 明月, 病, 花, 轉瞬, 韶華""，""天和, 好鳥, 感慨, 蹉跎""，""書, 林, 難""，""逍遙, 領畧""，""淸風"""
2664,"2,3,0,1,5","""人, 夢, 天, 幾時, 白髮, 秋, 茫茫""，""塵海""，""世外, 喚醒""，""情緣, 生, 黃梁""，""輪迴"""
2665,"0,2,1,4,5","""尚未, 雲霄""，""人, 淚, 長江""，""光陰""，""醫藥""，""不待"""
2666,"2,1,0,4","""人, 冷, 分手, 塵, 夢, 天, 影, 泣, 蟲, 香""，""奈何, 慈親, 河梁, 泉臺, 稚子, 良朋, 黃梁""，""斷腸, 萬事""，""雁"""
2667,"2,1,0,5","""夢, 心, 竹, 簾, 花, 香, 鶴""，""夜半, 書, 月影, 魚""，""仙骨""，""短句"""
2668,"4,1,2,0","""一派, 漁翁, 畫角, 雁""，""哀, 客, 家, 楓葉, 蕭瑟""，""夢, 婦, 急, 秋, 笛, 西風""，""大地"""
2669,"1,2,4,0,5,3","""燈火, 甘苦""，""古人, 徹夜, 法, 熒熒, 鸞""，""靑藜""，""何人, 異日, 餘光""，""心世""，""雨陰"""
2670,"2,1,5","""人, 佛, 光, 千古, 君, 影, 心, 茫茫""，""偷, 十年, 聖賢""，""兒時, 領畧"""
2671,"2,4,5,0,3,1","""學, 庭院, 流水, 笑, 花, 雨, 雲, 風""，""窗紗""，""新竹""，""泉水, 舊夢""，""閒情""，""爐"""
2672,"3,5,2,1,4,0","""冷節, 蠟炬""，""漢宫""，""天, 影, 新, 明日, 暮, 杏花, 火, 舊, 芳草""，""家""，""門巷""，""淸泉"""
2673,"1,4,0,2,5","""光芒, 將軍, 江山""，""斗牛""，""烈士, 豐城""，""心, 風雨, 龍""，""不愧, 延津"""
2674,"1,3,2,0","""妝, 浩劫, 漁""，""仙源路, 孤山, 武陵""，""人, 化作, 夢, 春, 水, 火, 瓊樓, 紅塵, 繁華, 金谷""，""喚醒, 郎"""
2675,"2,4,1,0,3","""人, 仙, 千古, 夢, 水, 秋, 美人, 雲""，""朗朗, 識面, 風流""，""冰壺""，""塵世, 天臺, 梅""，""回頭"""
2676,"0,1,2,4","""何人, 寶劍, 才華, 拂拭, 無價, 煙雲, 豐城""，""文章, 自古, 蓬山""，""塵, 幾時, 心""，""得失, 長虹"""
2677,"0,5,1,2,3","""中郎, 琴, 遊宦""，""知音""，""半生""，""心, 慰, 泥, 詩書, 金""，""歲月"""
2678,"0,1,2,3","""本來, 淩波""，""仙子, 冰, 妝, 玉骨, 瑤琴, 萍""，""心, 春光, 曲, 水, 流水, 美人""，""幽潔"""
2679,"2,1,4","""人, 天, 影, 水, 浪, 煙波, 畫, 雲, 風, 香""，""千里, 江, 無邊""，""窗外, 雁"""
2680,"1,2,5","""夜, 寂寞, 故都, 斜陽, 雄""，""人, 冷, 春, 湖, 芳草, 風, 香, 鶴""，""浣紗"""
2681,"2,1,0","""人, 塵, 天, 富貴, 水, 無心, 花, 金""，""千秋, 難""，""拂拭, 殷勤"""
2682,"2,0,4","""人, 心, 熒熒, 獨, 笑, 紅塵""，""未知, 絕倫""，""隨處"""
2683,"0,1,3,4,2","""奇葩, 洛陽, 蓮""，""夜, 怒, 舌, 鮮""，""巨手, 長天""，""濃豔, 長庚""，""心, 春, 香, 裏"""
2684,"2,0,1","""夢, 心, 無言, 翠, 花, 蠶, 香""，""幾人, 自然, 蓮, 開春, 隨手""，""宋"""
2685,"4,1,0,2","""交情, 天敎, 神物""，""他日, 從來, 此行, 浮雲""，""便是, 海內, 豐城""，""不平, 人, 天, 龍"""
2686,"0,2,1,3","""寳劍, 幾人, 慷慨, 有用, 烈士, 精神, 肝膽, 飛揚""，""光, 君, 心, 熒熒""，""不用, 而今""，""上方"""
2687,"1,2,5,3,0","""回春, 夜, 寒, 履, 燒, 燭, 爐""，""人, 光, 天, 花, 金, 雪, 香""，""冷暖""，""情思""，""團圓, 話舊"""
2688,"1,2,3","""他日, 感""，""君, 情, 愛, 金, 靈""，""祝長生"""
2689,"3,4,2,1,5","""秋色""，""東籬""，""人, 影, 新, 梅花, 簾, 素心, 舊, 花, 落英, 西風, 香""，""浮雲, 菊, 難""，""仙鶴, 使者, 宦情"""
2690,"2,4,1","""和, 愁, 春光, 柔, 眉, 繁華, 翠, 花, 長亭, 離別, 靈""，""吐氣, 風流""，""六代, 爛漫, 闌珊"""
2691,"2,1,0,3,5,4","""人, 塵, 富貴, 新, 春, 歸, 淚, 轉瞬, 雨, 風""，""眉梢""，""三月""，""興亡""，""悲歡""，""循環"""
2692,"2,4,1,3,0","""山, 春, 樹, 水, 簾, 紅杏, 繁華, 花, 酒家, 陰, 雨, 裏""，""石徑, 蛙""，""生""，""漁艇""，""羣芳"""
2693,"2,4,1","""人, 愁, 故里, 春, 桃花, 楊柳, 江南, 浪, 笛, 船""，""江北, 流離, 渡頭""，""客, 斜陽, 舟"""
2694,"0,2,1","""無恙, 狂風""，""樹""，""落葉"""
2695,"2,1,5,0","""夢, 天, 富貴, 愛, 東風, 柳, 樓臺, 樹, 炎, 紅塵, 繁華, 蟬, 鶴""，""三徑, 夜, 春色, 菰蒲, 難""，""秋宵, 綠意, 翠影, 蔚藍""，""熱心, 琴"""
2696,"2,1,4,5","""光, 夢, 秋, 繁華, 花, 香""，""人生, 春色""，""孤芳, 東籬, 熱鬧""，""晚節"""
2697,"2,1,0","""塵, 柳絮, 水, 泥, 浪, 蓬萊, 金, 雲, 風""，""不畏, 蓮花""，""世外, 麻姑"""
2698,"1,5,2,0,4,3","""兄弟, 哀, 回首, 感, 江, 舟, 難""，""暝色""，""帳, 心, 恨, 悲, 愛, 故鄉, 淚, 風""，""終天""，""夕照""，""蓼莪"""
2699,"0,2,1,3,4,5","""上蒼, 典籍, 去歲, 夢裏, 天倫, 宴, 琴, 病骨, 精神, 終天, 聚首, 膏肓, 蛇, 風波, 黃粱""，""人, 光, 君, 團圞, 塵, 夢, 天, 天上, 帳, 心, 恨, 情, 愛, 故鄉, 歸, 淚, 焚香, 玉樹, 病, 秋, 笑, 金, 險, 雪, 風""，""哭, 客, 家, 履, 帆, 感, 書, 死, 浮雲, 滄桑, 生, 疾, 難, 黃花""，""名場, 悶, 歲月, 長歌""，""變態""，""弟妹"""
2700,"0,2,1,5,3,4","""中原""，""千金, 思, 戰, 歸, 炎, 秋天""，""家, 生""，""大將""，""無用""，""汾陽, 盡職"""
2701,"2,3,1,0,4,5","""人, 歸, 白髮, 雲, 魂""，""歲月""，""生死, 雄, 難, 黃泉""，""晨昏""，""慕, 顯揚""，""恩"""
2702,"1,0","""勞心, 菊""，""淡忘"""
2703,"3,2","""未來, 過去""，""人, 思"""
2704,"2,5,3,1,4","""人, 仰, 園林, 夢, 天, 影, 扇, 新, 曲, 水, 畫, 秋, 花, 香, 鶴""，""夜景""，""到處""，""魚""，""斗牛, 空際"""
2705,"2,1,4,3","""塵, 夜月, 夢, 女, 母, 西風""，""黃梁""，""掩妝, 泉下, 阿姑""，""淚眼"""
2706,"5,1,2,0","""認同""，""再生, 周旋, 相思, 難""，""人, 今日, 千古, 夢, 新秋, 相逢""，""九泉, 前夜, 故人, 琴"""
2707,"3,2,4,1,5,0","""曇花一現""，""人, 君, 神仙, 紅塵, 詩""，""漢水""，""來生, 難""，""解珮""，""斷情"""
2708,"3,5,2,1","""大暑""，""恩, 漢宫""，""冷, 妒, 恨, 情, 新, 炎, 秋, 舊, 風""，""寒, 書, 生"""
2709,"4,1,3","""前村""，""天意, 寒, 昨夜""，""報春"""
2710,"2,0,1,5","""人, 春, 樹, 消息, 玉, 花, 雪, 雲, 鶴""，""寒梅""，""千萬, 客, 暗香, 橫琴, 疎影""，""世界"""
2711,"1,5,2","""夜, 妝, 梧桐, 歸來, 當年, 試問""，""此日""，""秋雨, 魂, 鶴"""
2712,"2,1,4,0","""天, 心, 惜, 愛, 符, 香""，""冬, 文章, 星, 春色, 漁, 生""，""德""，""梅"""
2713,"3,2","""儒林, 官, 祝長生, 花縣, 蘭堂""，""奇, 雨"""
2714,"0,2,3,5,1,4","""梅, 浮生, 蓮""，""夢, 庾嶺, 情, 戀, 春, 歸人, 淚, 無意, 舊""，""小鳳""，""有心""，""燭, 鴻""，""有期"""
2715,"5,4,2,3,0,1","""掌珠, 煙籠""，""拜堂""，""南浦, 君, 天, 柳, 樹, 神仙, 笑, 船, 蟬, 風""，""傀儡""，""不堪回首""，""別離, 寒"""
2716,"2,0,5,3","""唱, 影, 惜, 新秋, 曲, 東閣, 水, 湖, 舊, 雙星, 雨, 驪歌""，""香火""，""南園, 重修""，""桃花潭"""
2717,"0,2,4,1","""故國, 花萼""，""夢, 心, 情, 愁, 曲, 秋水, 蟬, 陽關""，""雁, 雪泥鴻爪""，""妝, 斜陽, 燭, 舟"""
2718,"2,0,4,5","""人, 仙, 思""，""比鄰""，""膝下""，""桑榆"""
2719,"1,2,4,5","""孟, 生, 詞""，""人, 夕陽, 愛, 玉, 眉, 蘭, 風""，""甘雨""，""晚晴"""
2720,"2,1,4,5","""天, 春, 梅花, 海, 眉, 蟠桃, 香""，""星, 鴻""，""世間, 綵衣""，""長生"""
2721,"1,5,2,4","""哀, 喜, 夜, 惆悵, 風寒, 鴻""，""此日, 錦瑟""，""冷, 天, 珠, 眉, 絃, 香, 魂""，""含笑, 夢蝶"""
2722,"5,2,3,0,4,1","""冰霜, 古井, 徽音, 晚晴, 桑榆, 蘇瓌""，""光, 姑, 愛, 松, 水""，""羊城""，""日月""，""德""，""家, 芝蘭"""
2723,"2,5,0,3","""眉, 詩, 雪, 風華""，""子女""，""寒梅""，""錦囊"""
2724,"2,1","""四壁, 秋, 雨, 風""，""夜, 寒, 梧桐"""
2725,"2,0","""慈, 泉, 竹, 鳳""，""心田"""
2726,"2,1,0","""花""，""寒, 感""，""培植"""
2727,"4,0,2","""主人, 浮世, 處士""，""蓮""，""山, 梅花, 火, 鶴"""
2728,"0,3,4,2","""培植, 宮墻, 肝膽""，""良材""，""德""，""情"""
2729,"2,1,0","""人, 天, 春, 秋""，""他日, 厯盡, 紅樹""，""風波"""
2730,"2,1,0","""仙, 天, 水, 靈""，""偶然, 千秋, 塵寰, 書""，""冰心"""
2731,"2,1,3,4,0","""人, 明月, 花, 茫茫""，""前身, 眼中""，""塵海""，""問津""，""靈府"""
2732,"4,3,5,2","""德""，""修身""，""恩, 靑霄""，""山, 歸, 靈"""
2733,"2,0,1,3,4","""塵, 天, 心, 情, 雲, 香""，""世外""，""向平, 蓬山""，""兒女""，""鐘聲, 頂上"""
2734,"5,2,4,1","""銅壺""，""宵, 玉漏, 雨""，""宵夜""，""眼界"""
2735,"2,0,3,4","""情, 惜, 愁, 歸, 珍重, 詩""，""因緣""，""彩箋""，""華年"""
2736,"2,0,1,5","""和, 惜, 新, 春, 昨宵, 晴, 曲, 柳, 樹, 水, 河, 流鶯, 海, 火, 玉漏, 畫, 眉, 竹, 笑, 笛, 簾, 絃, 花, 芳心, 蘭亭, 蝶, 蠶, 詩, 金, 金谷, 陰, 雪, 雲, 風""，""羣芳""，""一刻, 喜, 妝, 星, 燭, 生, 舌, 音""，""綠意"""
2737,"2,1,3,4,5","""人, 新, 畫, 芳草, 韻事""，""笙歌""，""杏花村, 舊迹""，""屐齒, 鶯燕""，""裙腰"""
2738,"3,2,1,4","""影度, 東郊""，""思, 扇, 春, 暮, 柳, 泥, 翠, 花, 蝶, 雪, 雲, 香, 鶯""，""林, 歸來, 鴻""，""隱隱"""
2739,"1,0,5,2,3,4","""乾坤, 冰, 千秋, 家, 正氣, 滄桑, 爛漫, 生, 舟, 難""，""健婦, 冰心, 季子, 池, 經營, 綱常, 綿綿, 良人, 萬古""，""佳士, 古井, 春蠶, 烈性""，""人, 仙, 天, 寂寂, 影, 心, 恨, 新, 春, 春風, 桃李, 桃花, 玉, 相逢, 絮, 花, 蟠桃, 閨, 阿母, 雲, 靈, 顏色, 香, 鳳, 鶴""，""天台, 武陵, 淚眼, 烈女, 竹簡, 錦幔""，""一月, 一綫, 無愧, 綵衣, 雁"""
2740,"1,5,2,0,4","""孤城, 書, 烽火, 祠""，""不顧, 但願, 偉績, 廉泉, 桑榆, 蓋世, 長劍, 長生""，""光, 古人, 夕陽, 水, 玉樹, 畫, 笑, 雲, 風, 香""，""丹心""，""汾陽"""
2741,"2,0,1,3,4","""光, 夢, 天, 富貴, 愁, 愧, 晴, 桐, 玉樹, 石, 神仙, 竹, 蝶, 階, 險, 風, 香""，""大樹, 日月, 棣棠, 湘水, 琴""，""女貞, 感, 春秋, 林, 舟, 芝蘭, 荊棘""，""良言, 菽水, 電影""，""朝陽, 碧漢, 紅樓, 艱苦"""
