词语,频率
尖,44
桐,44
梳,44
髪,44
選,44
廢,43
天氣,43
猿,43
蛾,43
困,43
逾,43
身世,43
擘,43
架,43
惟有,43
遥,43
温,43
屈,43
努力,42
夫人,42
牕,42
詩書,42
咫尺,42
鬥,42
銜,42
綰,42
頓,42
小院,42
賒,42
眾,42
勸,42
饒,42
山川,42
幾時,42
豪,42
紅塵,42
箇,42
飄零,42
裙,42
蒲,42
池塘,42
穩,41
平生,41
撥,41
飽,41
士,41
恰,41
百年,41
故人,41
體,41
綵,41
斑,41
此時,41
無言,41
涼風,41
鸚鵡,41
饑,41
淒涼,41
章,41
鈎,40
號,40
凌,40
印,40
蕙,40
挑燈,40
穀,40
欹,40
孝,40
脫,40
紈,40
謂,40
蘇,40
蕭瑟,40
苑,40
相見,40
降,40
瘦影,39
蕪,39
裝,39
杜鵑,39
殺,39
宛,39
束,39
無情,39
暮雲,39
逗,39
薪,39
蝴蝶,39
窗外,39
婢,39
途,39
巾,39
弓,39
海上,39
策,39
珍,39
恆,39
鍼,38
無力,38
製,38
争,38
擊,38
肌,38
芭蕉,38
左,38
三徑,38
今朝,38
羊,38
囘首,38
矜,38
訝,38
御,38
籌,38
殘月,38
趨,38
璧,37
暗香,37
惱,37
伏,37
襲,37
僧,37
止,37
富,37
漿,37
弟,37
悽,37
薦,37
浣,37
聰明,37
效,37
韶華,36
丰,36
禪,36
誠,36
貪,36
鵑,36
今夜,36
厯,36
柳絮,36
表,36
繭,36
心事,36
鵲,36
尾,36
驕,36
蓬萊,36
服,36
夾,36
娛,36
顰,36
羅衣,36
弔,36
妾,36
麥,36
愼,36
主人,35
蒸,35
纎,35
薄命,35
娘,35
燼,35
讀書,35
關心,35
猜,35
斂,35
健,35
鬼,35
煮,35
侯,35
羹,35
擅,35
髫,35
英雄,35
鼎,35
戈,35
翩翩,35
簇,35
極目,35
嘉,35
黃金,35
長空,35
四壁,34
素心,34
歌聲,34
涼月,34
障,34
恍,34
滄桑,34
履,34
飛花,34
同心,34
挽,34
歸期,34
珊瑚,34
翁,34
屢,34
蓮花,34
荆,34
濤,34
腸斷,34
摘,34
舊時,34
軍,34
惡,34
涕,34
瀟湘,34
蜂,34
閨中,34
嘆,34
耀,33
卿,33
蒼蒼,33
疾,33
佳人,33
屐,33
明珠,33
驛,33
黑,33
晚風,33
宴,33
綻,33
不覺,33
誰知,33
脈脈,33
界,33
鹿,33
鹽,33
畝,33
幔,33
陽春,33
寄語,33
施,33
眺,33
掠,33
他鄉,33
予,33
冶,32
冀,32
奠,32
兩岸,32
儀,32
無恙,32
幹,32
冰雪,32
役,32
樣,32
團圞,32
嫁,32
梢,32
進,32
豆,32
賴,32
鴨,32
遲遲,32
墻,32
靑山,32
葬,32
霄,32
慘,32
春水,32
雙星,32
佳節,32
瑶,32
膝下,32
岑,32
警,32
草堂,32
亡,32
暝,31
獻,31
五色,31
艱難,31
百花,31
睛,31
輭,31
旌,31
漠漠,31
蛇,31
麻,31
飯,31
量,31
雲山,31
函,31
芸,31
玉笛,31
杏,31
辛苦,31
適,31
煖,31
古人,31
微風,31
怒,31
風光,31
改,31
博,31
麝,31
完,31
萱,31
君子,31
賜,31
淸風,31
簟,31
酌,31
東籬,31
空山,31
螺,31
謫,31
挹,31
畫圖,31
遠山,30
彎,30
卅,30
耕,30
操,30
翼,30
高樓,30
匹,30
潛,30
朔風,30
羈,30
篋,30
忠,30
芳菲,30
衣裳,30
閩,30
爪,30
曠,30
杏花,30
勉,30
草木,30
訓,30
妹,30
網,30
園林,30
舫,30
辰,30
朦朧,30
仗,30
山色,29
詩人,29
執,29
兩地,29
重陽,29
淒淒,29
古今,29
半生,29
紀,29
保,29
豐,29
雄,29
舊夢,29
靡,29
妃,29
頹,29
夜夜,29
有時,29
病骨,29
反,29
槐,29
棋,29
愴,29
駒,29
蛾眉,29
浦,29
提,29
遐,29
店,29
閭,29
隴,29
雀,29
償,29
刼,29
風雪,29
琉璃,29
鼠,29
阿母,29
憎,29
西湖,29
騰,29
毛,29
故國,28
燈火,28
旦,28
伸,28
飄泊,28
禾,28
劇,28
傷神,28
凋,28
凄,28
敞,28
知音,28
沐,28
緯,28
榻,28
胭脂,28
題詩,28
行人,28
姊,28
俯,28
凈,28
術,28
臙脂,28
杜,28
千金,28
太息,28
凉,28
株,28
卉,28
恁,28
裾,28
翅,28
烽火,28
廉,28
菱,28
掩映,28
二月,28
遊子,28
吞,28
塡,28
有人,28
光陰,28
貌,28
